"subjectID","trial","roi","meanPE","sdPE","run"
"FP002",24,"vmPFC",2.56634,6.33305,"run2"
"FP002",25,"vmPFC",3.73659,8.72403,"run2"
"FP002",26,"vmPFC",3.132,5.59975,"run2"
"FP002",27,"vmPFC",2.06259,6.73428,"run2"
"FP002",28,"vmPFC",0.00950164,6.82297,"run2"
"FP002",29,"vmPFC",-0.953437,7.99829,"run2"
"FP002",30,"vmPFC",-1.26376,8.15826,"run2"
"FP002",31,"vmPFC",0.799419,4.76807,"run2"
"FP002",32,"vmPFC",-2.50661,7.346,"run2"
"FP002",33,"vmPFC",0.994399,6.66566,"run2"
"FP002",34,"vmPFC",-0.162232,4.975,"run2"
"FP002",35,"vmPFC",-0.0578072,3.44722,"run2"
"FP002",36,"vmPFC",-0.384021,5.41323,"run2"
"FP002",1,"VS",0.0439971,8.69872,"run1"
"FP002",2,"VS",0.130344,7.51834,"run1"
"FP002",3,"VS",3.15683,12.4928,"run1"
"FP002",4,"VS",1.72485,7.48544,"run1"
"FP002",5,"VS",1.07079,10.3684,"run1"
"FP002",6,"VS",1.14235,8.68661,"run1"
"FP002",7,"VS",0.932625,6.18811,"run1"
"FP002",8,"VS",-0.230831,5.66135,"run1"
"FP002",9,"VS",0.367419,6.46585,"run1"
"FP002",10,"VS",0.26614,6.64754,"run1"
"FP002",11,"VS",0.487726,3.70062,"run1"
"FP002",12,"VS",0.368236,4.32457,"run1"
"FP002",13,"VS",0.64887,4.37811,"run1"
"FP002",14,"VS",0.312281,7.62774,"run1"
"FP002",15,"VS",0.252574,7.19848,"run1"
"FP002",16,"VS",-0.0708686,5.405,"run1"
"FP002",17,"VS",0.93117,9.55678,"run1"
"FP002",18,"VS",-0.313029,7.84937,"run1"
"FP002",19,"VS",-0.923985,6.4384,"run1"
"FP002",20,"VS",-0.242539,9.481,"run1"
"FP002",21,"VS",-0.586297,4.91446,"run1"
"FP002",22,"VS",-0.347446,4.47072,"run1"
"FP002",23,"VS",-0.383474,3.61471,"run1"
"FP002",24,"VS",0.158824,4.85565,"run1"
"FP002",25,"VS",2.55479,8.9063,"run1"
"FP002",26,"VS",-2.34021,9.33522,"run1"
"FP002",27,"VS",0.0826318,9.50274,"run1"
"FP002",28,"VS",0.496999,9.24199,"run1"
"FP002",29,"VS",0.463051,11.0761,"run1"
"FP002",30,"VS",-11.5943,13.6437,"run1"
"FP002",31,"VS",0.584516,4.22415,"run1"
"FP002",32,"VS",1.02909,5.97137,"run1"
"FP002",33,"VS",1.10489,4.01734,"run1"
"FP002",34,"VS",2.0654,6.30965,"run1"
"FP002",35,"VS",-0.138554,5.0958,"run1"
"FP002",36,"VS",0.458,5.63944,"run1"
"FP002",1,"VS",-0.235576,4.4904,"run2"
"FP002",2,"VS",1.06729,7.41119,"run2"
"FP002",3,"VS",2.55491,8.68852,"run2"
"FP002",4,"VS",2.40283,10.7685,"run2"
"FP002",5,"VS",1.17215,11.4132,"run2"
"FP002",6,"VS",2.06276,10.5682,"run2"
"FP002",7,"VS",1.79253,5.38037,"run2"
"FP002",8,"VS",0.0333833,4.97799,"run2"
"FP002",9,"VS",0.223281,6.93099,"run2"
"FP002",10,"VS",0.447632,8.21618,"run2"
"FP002",11,"VS",-0.267653,3.67962,"run2"
"FP002",12,"VS",0.043768,8.84935,"run2"
"FP002",13,"VS",1.92123,7.52909,"run2"
"FP002",14,"VS",3.08242,9.46756,"run2"
"FP002",15,"VS",7.11687,11.7208,"run2"
"FP002",16,"VS",8.66977,10.7479,"run2"
"FP002",17,"VS",10.9115,12.4351,"run2"
"FP002",18,"VS",8.08973,10.1228,"run2"
"FP002",19,"VS",2.08752,3.90836,"run2"
"FP002",20,"VS",6.64483,7.20294,"run2"
"FP002",21,"VS",3.909,9.85641,"run2"
"FP002",22,"VS",4.33319,8.18706,"run2"
"FP002",23,"VS",2.07019,3.61973,"run2"
"FP002",24,"VS",3.29974,7.54056,"run2"
"FP002",25,"VS",-0.337253,10.4796,"run2"
"FP002",26,"VS",0.917932,6.07904,"run2"
"FP002",27,"VS",0.169564,7.00093,"run2"
"FP002",28,"VS",1.06635,8.8733,"run2"
"FP002",29,"VS",0.458216,9.06668,"run2"
"FP002",30,"VS",4.12873,10.7,"run2"
"FP002",31,"VS",1.12594,5.19725,"run2"
"FP002",32,"VS",-1.06832,7.30122,"run2"
"FP002",33,"VS",0.633367,8.59952,"run2"
"FP002",34,"VS",-0.57317,5.0983,"run2"
"FP002",35,"VS",0.276602,4.04527,"run2"
"FP002",36,"VS",1.13812,5.71747,"run2"
"FP003",1,"pgACC",0.0308473,5.809,"run1"
"FP003",2,"pgACC",2.1876,6.66954,"run1"
"FP003",3,"pgACC",4.07499,9.09057,"run1"
"FP003",4,"pgACC",1.42141,7.35055,"run1"
"FP003",5,"pgACC",4.87758,8.53411,"run1"
"FP003",6,"pgACC",2.18181,6.28363,"run1"
"FP003",7,"pgACC",1.06228,5.86916,"run1"
"FP003",8,"pgACC",-0.737481,4.65131,"run1"
"FP003",9,"pgACC",2.49581,10.7831,"run1"
"FP003",10,"pgACC",0.806313,8.62121,"run1"
"FP003",11,"pgACC",0.395146,9.14771,"run1"
"FP003",12,"pgACC",-0.633011,5.57478,"run1"
"FP003",13,"pgACC",1.15523,7.45219,"run1"
"FP003",14,"pgACC",4.0307,11.1759,"run1"
"FP003",15,"pgACC",-0.221574,7.95786,"run1"
"FP003",16,"pgACC",1.49188,6.90483,"run1"
"FP003",17,"pgACC",-2.08184,6.62347,"run1"
"FP003",18,"pgACC",1.18464,13.5502,"run1"
"FP003",19,"pgACC",0.992516,5.99984,"run1"
"FP003",20,"pgACC",-3.58052,8.45911,"run1"
"FP003",21,"pgACC",1.692,8.05502,"run1"
"FP003",22,"pgACC",-2.90442,10.7461,"run1"
"FP003",23,"pgACC",-0.533361,9.67628,"run1"
"FP003",24,"pgACC",0.0456528,11.4471,"run1"
"FP003",25,"pgACC",0.642842,4.29646,"run1"
"FP003",26,"pgACC",0.377633,7.90079,"run1"
"FP003",27,"pgACC",3.08846,10.8598,"run1"
"FP003",28,"pgACC",0.0601893,5.28051,"run1"
"FP003",29,"pgACC",3.33139,12.7052,"run1"
"FP003",30,"pgACC",-2.50711,10.1336,"run1"
"FP003",31,"pgACC",-0.150642,7.46015,"run1"
"FP003",32,"pgACC",-0.262156,6.71774,"run1"
"FP003",33,"pgACC",2.85228,9.10705,"run1"
"FP003",34,"pgACC",0.152968,5.33543,"run1"
"FP003",35,"pgACC",0.238701,8.05677,"run1"
"FP003",36,"pgACC",-0.202968,8.70961,"run1"
"FP003",1,"pgACC",3.03642,9.01358,"run2"
"FP003",2,"pgACC",0.264232,12.2067,"run2"
"FP003",3,"pgACC",1.21676,9.96918,"run2"
"FP003",4,"pgACC",1.02052,7.98878,"run2"
"FP003",5,"pgACC",-3.66299,10.3312,"run2"
"FP003",6,"pgACC",-2.24723,9.55544,"run2"
"FP003",7,"pgACC",-1.96364,9.04884,"run2"
"FP003",8,"pgACC",0.359615,6.60665,"run2"
"FP003",9,"pgACC",-3.26266,6.8402,"run2"
"FP003",10,"pgACC",-0.393238,11.9106,"run2"
"FP003",11,"pgACC",1.03799,7.4556,"run2"
"FP003",12,"pgACC",-2.12,10.5838,"run2"
"FP003",13,"pgACC",1.60672,5.97362,"run2"
"FP003",14,"pgACC",-1.0362,7.68591,"run2"
"FP003",15,"pgACC",-2.27846,5.65386,"run2"
"FP003",16,"pgACC",-1.56386,12.4056,"run2"
"FP003",17,"pgACC",2.60934,9.01778,"run2"
"FP003",18,"pgACC",0.219409,6.62543,"run2"
"FP003",19,"pgACC",0.655414,6.8661,"run2"
"FP003",20,"pgACC",-4.89952,13.6474,"run2"
"FP003",21,"pgACC",0.255065,4.99532,"run2"
"FP003",22,"pgACC",-4.50275,11.5168,"run2"
